Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,fear_and_greed_index
2021-03-21,58097.4,58583.8,55583.3,57383.8,234780,846739,410038,21865558044611,1.6596970916255E+20,0.358,17533683606,14.866,5.512,9.231,271008,835.452,936115,14.369,5.883,18660493.75,60066262.67738397,73.0
2021-03-22,57379.3,58379.9,53784.2,54158.3,297259,870478,547061,21865558044611,1.7141737589482E+20,0.341,28248075312,16.246,7.381,9.536,248804,972.241,965418,14.379,8.268,18661368.75,58540676.97897906,70.0
2021-03-23,54117.5,55813.8,52992.3,54452.5,314073,872661,562786,21865558044611,1.7245128399262E+20,0.345,37921490830,14.165,6.616,8.944,316802,922.318,1083569,14.338,7.482,18662475.0,60904323.71943131,66.0
2021-03-24,54309.1,57169.4,51725.4,52325.4,304941,880506,552105,21865558044611,1.7204233374388E+20,0.331,33574543475,14.91,7.533,9.474,296800,980.627,990377,14.364,7.99,18663350.0,56905120.7290735,65.0
2021-03-25,52330.0,53175.4,50441.3,51322.3,318408,892913,601208,21865558044611,1.6458810468791E+20,0.332,42386358281,13.789,6.178,9.351,280559,919.162,1083562,14.329,8.05,18664456.25,55913485.57796882,60.0
2021-03-26,51317.4,55074.1,51302.0,55036.1,293474,872522,556632,21865558044611,1.5251368776032E+20,0.325,31902997837,14.729,7.413,10.588,263813,1028,891746,14.282,8.728,18665112.5,49554041.05561001,54.0
2021-03-27,55033.8,56531.1,54010.2,55862.9,288100,899006,492042,21865558044611,1.6726627641056E+20,0.35,20326318231,12.761,5.406,9.057,236188,775.381,1001179,14.286,6.287,18666212.5,59212965.29536148,65.0
2021-03-28,55856.9,56504.2,54711.3,55765.2,248446,876628,418298,21865558044611,1.7314934491779E+20,0.339,18020695813,13.035,5.247,9.057,206956,755.722,925338,14.281,5.518,18667306.25,58772016.35476238,74.0
2021-03-29,55764.7,58392.6,54951.1,57616.2,303154,877636,533464,21865558044611,1.6558643026466E+20,0.352,30355000226,15.159,7.928,9.536,301762,1042,911249,14.327,7.886,18668187.5,59732041.28817989,72.0
2021-03-30,57614.6,59366.9,57077.1,58771.3,320944,885075,575416,21865558044611,1.6146059922798E+20,0.365,27082239353,17.563,9.001,9.863,272247,1008,1000015,14.332,9.577,18669068.75,58978791.97986809,72.0
2021-03-31,58771.4,59795.6,56991.6,58763.7,332592,883290,607613,21865558044611,1.6355853683098E+20,0.389,30294388402,18.084,8.787,9.172,240534,980.646,1050294,14.331,9.459,18669943.75,63698731.011946015,76.0
2021-04-01,58763.2,59406.5,58040.7,58718.3,311794,886005,561167,21865558044611,1.7331257407383E+20,0.338,32626194402,16.992,8.579,9.931,257955,998.433,1002317,14.33,9.037,18671037.5,58722692.65813852,74.0
2021-04-02,58718.2,60134.9,58466.5,58977.3,305648,884061,558303,23064760716651,1.6185468263934E+20,0.353,30385803529,17.337,8.719,10.286,268420,1003,937863,14.34,9.275,18671912.5,57243512.862984665,74.0
2021-04-03,58976.8,59770.5,56906.7,57059.9,281586,884107,480392,23137439666472,1.5606186107502E+20,0.341,21242591514,17.568,8.787,10.992,280926,866.506,826749,14.319,9.303,18672575.0,54056516.12378918,73.0
2021-04-04,57059.7,58464.8,56470.6,58199.9,245861,874973,413606,23137439666472,1.6592418112923E+20,0.341,15740704522,15.771,7.212,9.863,271675,744.38,893180,14.321,6.863,18673475.0,56501558.977773495,74.0
2021-04-05,58202.3,59205.1,56842.7,58993.4,288890,862111,527581,23137439666472,1.7091408190615E+20,0.363,31203908995,18.992,8.591,9.231,352131,988.352,1040641,14.278,8.837,18674437.5,62213130.42119343,71.0
2021-04-06,59169.0,59487.0,57403.3,57996.3,309421,884008,571802,23137439666472,1.6782304274115E+20,0.351,44551728737,20.105,9.613,10,399032,1057,1029256,14.235,10.578,18675456.25,58865753.6739137,75.0
2021-04-07,57996.3,58627.7,55489.3,55948.7,321162,888534,591527,23137439666472,1.7153538572573E+20,0.359,33924614678,17.927,8.521,9.172,301682,958.7,1058938,14.26,9.341,18676443.75,61699929.39559078,72.0
2021-04-08,55948.0,58136.7,55721.6,58077.4,278400,883754,533551,23137439666472,1.7975842791644E+20,0.296,34178632541,18.808,9.433,10.746,308327,993.544,976554,14.277,9.861,18677181.25,53025106.53857864,73.0
2021-04-09,58076.8,58890.9,57686.0,58118.7,324568,888748,598986,23137439666472,1.5239160405276E+20,0.407,33237308602,20.873,9.472,9.474,285991,932.189,1045474,14.323,10.919,18678250.0,62936805.508286126,70.0
2021-04-10,58127.4,61229.0,57900.0,59748.4,298929,881319,505202,23137439666472,1.8640802936005E+20,0.344,29236257341,18.022,8.212,9.172,308410,799.178,1032385,14.359,8.404,18679081.25,64092742.42249997,70.0
2021-04-11,59772.4,60667.1,59250.3,59978.7,253304,863582,431628,23137439666472,1.7052370273752E+20,0.34,19458041566,14.868,6.457,9.931,323171,779.714,915759,14.342,6.502,18680143.75,58799840.659562446,76.0
2021-04-12,59982.1,61259.9,59569.2,59863.8,291225,883178,510887,23137439666472,1.7014812415513E+20,0.35,37306131169,18.942,8.558,10,346001,1126,969344,14.388,9.258,18680887.5,59662203.17826638,74.0
2021-04-13,59863.6,63659.0,59839.4,63540.9,310071,876351,513879,23137439666472,1.6726755555078E+20,0.368,45229571000,20.41,9.971,10.141,382819,1167,1003818,14.41,10.297,18681893.75,61441759.0375718,74.0
2021-04-14,63544.2,64778.0,61366.3,62980.4,297359,902130,519415,23137439666472,1.518717730477E+20,0.409,49629168041,29.053,13.477,10.667,389263,1285,949048,14.464,13.903,18682668.75,63141327.402798735,75.0
2021-04-15,62978.6,63729.1,62067.5,63216.0,359268,892547,554823,23217560568175,1.8167943199849E+20,0.426,36809487178,27.187,12.136,8.372,323211,974.167,1196069,14.513,12.627,18683856.25,80172244.97007681,79.0
2021-04-16,63211.6,63518.5,60027.3,61379.7,219601,879567,420883,23581981443664,1.6736603940491E+20,0.289,52037999764,39.445,16.799,13.981,516536,1462,830078,14.58,17.903,18684418.75,48356808.52401327,78.0
2021-04-17,61358.3,62509.1,59672.1,60041.9,194489,879676,353899,23581981443664,1.2155182861954E+20,0.369,21792593371,51.56,23.738,15.824,359703,1459,773272,14.574,22.344,18684900.0,45028087.58663974,76.0
2021-04-18,60043.2,60362.1,51817.6,56207.1,274611,900314,449307,23581981443664,1.2782218196689E+20,0.434,42645634219,43.853,19.648,11.613,337989,1116,954286,14.568,21.703,18685731.25,57721965.5233542,79.0
2021-04-19,56208.1,57517.0,54272.3,55646.1,208316,855365,427361,23581981443664,1.1360175683947E+20,0.408,29892429385,58.418,26.889,14.845,346249,1503,751010,14.505,26.262,18686406.25,47180246.47068432,74.0
2021-04-20,55645.1,57054.9,53422.5,56483.2,279849,877935,536926,23581981443664,1.3666385547909E+20,0.448,67407460741,59.878,26.442,11.25,370719,1219,965161,14.523,27.402,18687087.5,62004693.81146113,73.0
2021-04-21,56479.5,56764.4,53657.6,53820.2,225920,895948,467300,23581981443664,1.3217651820989E+20,0.372,66373161965,62.779,28.392,14.257,473725,1284,787582,14.522,28.844,18687718.75,49225543.81325493,73.0
2021-04-22,53821.3,55408.4,50590.9,51729.5,274467,887672,506784,23581981443664,1.4289112913134E+20,0.449,61007747833,58.718,24.369,10.07,429103,1253,981596,14.533,25.108,18688787.5,64293952.906998485,65.0
2021-04-23,51707.1,52099.9,47659.4,51143.6,295596,893218,524077,23581981443664,1.6404628448074E+20,0.339,59597772214,45.518,20.597,10.667,368625,1123,931624,14.601,24.229,18689443.75,55567384.88797259,55.0
2021-04-24,51140.8,51183.0,48775.2,50088.9,290545,880543,451278,23581981443664,1.6251119609039E+20,0.331,31002971914,29.025,12.562,9.931,275845,654.858,911731,14.611,15.677,18690406.25,53877732.96517578,37.0
2021-04-25,50088.2,50532.4,47098.5,48963.6,240900,884132,385161,23581981443664,1.7119806222625E+20,0.289,28949335984,23.971,9.017,10.213,337302,649.973,849115,14.694,11.663,18691300.0,49453312.869487576,31.0
2021-04-26,48963.5,54320.9,48815.9,54020.5,240573,893442,477435,23581981443664,1.5822087335946E+20,0.295,50940323283,36.957,17.267,12.632,474291,1230,791356,14.685,19.065,18692137.5,47389587.56067316,27.0
2021-04-27,54011.1,55427.8,53345.0,55036.5,297967,883378,541232,23581981443664,1.5279169277401E+20,0.375,66849336208,29.732,14.219,10.141,419084,971.659,969613,14.719,15.467,18692993.75,57182089.25851064,50.0
2021-04-28,55036.0,56419.9,53876.4,54841.4,276984,884986,519237,23581981443664,1.6808066675917E+20,0.334,46167808612,26.888,13.148,10.141,396534,958.806,1018397,14.744,13.288,18693918.75,56029341.15713478,59.0
2021-04-29,54838.6,55173.7,52400.0,53560.8,259343,876992,511804,23581981443664,1.4772885315262E+20,0.331,36995112855,30.096,14.305,11.803,439029,1160,856639,14.781,15.969,18694525.0,48848197.60179543,52.0
2021-04-30,53562.3,57925.6,53088.7,57720.3,289244,868778,536472,23581981443664,1.6084085292705E+20,0.361,30112861243,27.357,12.643,9.931,437538,1087,975112,14.817,13.651,18695525.0,59389761.303177826,51.0
2021-05-01,57719.1,58449.4,57029.5,57807.1,262852,882992,482619,23004465874893,1.5711233524489E+20,0.357,16102325162,22.45,9.552,10.36,353558,838.394,885897,14.805,10.523,18696300.0,56995422.307202466,68.0
2021-05-02,57807.2,57868.4,56110.5,56603.8,235029,826395,412840,20608845737768,1.6789148155669E+20,0.42,12275331888,20.554,8.265,7.784,360724,840.168,1071125,14.832,6.85,18697456.25,70637245.5046327,66.0
2021-05-03,56605.8,58925.1,56562.4,57169.8,286830,836599,524379,20608845737768,1.8132234782688E+20,0.389,33410008177,22.395,10.556,8.136,435999,1044,1053210,14.847,9.118,18698593.75,71252796.33298717,61.0
2021-05-04,57170.6,57201.3,53741.5,53741.5,300643,886171,563505,20608845737768,1.8790444472306E+20,0.362,34437152560,18.286,8.296,7.956,419513,1020,1076403,14.88,8.081,18699668.75,68034176.30412355,68.0
2021-05-05,53872.5,57936.4,53872.5,57441.3,309617,873874,598865,20608845737768,1.7347106945573E+20,0.348,35491127512,18.029,8.533,9.172,329957,995.399,1063848,14.893,9.245,18700743.75,61161963.09240894,48.0
2021-05-06,57441.0,58364.9,55294.5,56405.4,311210,870005,626069,20608845737768,1.6571035243399E+20,0.403,32123009753,20.05,9.467,8.471,331015,1019,1024306,14.906,9.349,18701800.0,66659326.27502956,65.0
2021-05-07,56411.4,58639.3,55300.1,57337.2,307816,876361,598170,20608845737768,1.7684919859106E+20,0.379,42781516993,19.265,8.647,8.372,358005,989.07,995365,14.925,8.854,18702787.5,71663298.61460015,64.0
2021-05-08,57330.3,59471.1,56972.2,58840.1,274520,894631,540728,20608845737768,1.8131531454116E+20,0.373,24933917376,18.595,7.739,8.421,293405,950.95,974819,14.945,7.55,18703918.75,67678884.92096624,67.0
2021-05-09,58840.6,59227.0,56414.4,58238.3,247680,856554,482269,20608845737768,1.8657396656762E+20,0.383,23667105476,16.394,6.871,7.742,254195,884.45,1081356,14.949,5.686,18705093.75,71465404.01503558,73.0
2021-05-10,58251.2,59523.9,53678.3,55848.9,303117,873492,585547,20608845737768,1.8973079704348E+20,0.373,35571721390,19.25,8.25,8,269256,1092,1144292,14.995,8.244,18706243.75,71072062.4963203,72.0
2021-05-11,55846.1,56871.1,54550.4,56695.7,311943,866430,605733,20608845737768,1.7447307372361E+20,0.37,28925341353,14.645,6.385,8.372,215614,988.428,1032122,15.035,7.074,18707243.75,64607298.400094174,61.0
2021-05-12,56694.5,57938.5,49187.0,49384.2,300280,866785,575074,20608845737768,1.7386146302667E+20,0.371,40783825308,14.347,5.866,8.372,290172,1035,1083920,15.184,6.686,18708468.75,64585949.4848341,68.0
2021-05-13,49398.2,51337.3,46331.1,49704.6,276311,877885,571087,23227330060563,1.9760946727775E+20,0.272,68020393129,12.966,5.027,8.944,451295,1243,1036314,15.19,6.67,18709325.0,53650242.51126909,31.0
2021-05-14,49704.9,51459.2,48874.0,49839.8,265921,883117,539733,25046487590083,1.7706860260077E+20,0.258,56772901814,13.823,5.784,10.746,432360,1073,883598,15.238,8.046,18710325.0,45652932.824427664,26.0
2021-05-15,49839.1,50640.9,46650.2,46708.8,231976,882398,445070,25046487590083,1.6748502652246E+20,0.243,44905588095,13.159,5.335,11.707,404818,973.53,824216,15.275,7.518,18711043.75,41386831.59001042,27.0
2021-05-16,46729.3,49764.3,43920.8,46426.4,219303,874337,398506,25046487590083,1.5761301913725E+20,0.266,34764586378,11.34,4.767,10.909,397725,964.506,810985,15.287,5.943,18711762.5,41709082.876608536,20.0
2021-05-17,46424.2,46545.4,42201.5,43541.3,250789,887113,454256,25046487590083,1.527825567776E+20,0.242,55293559731,13.469,6.012,11.901,457314,1201,858089,15.372,9.157,18712581.25,36875391.36590077,27.0
2021-05-18,43538.5,45770.9,42293.9,42897.3,220918,874189,417958,25046487590083,1.4706548512322E+20,0.208,34543986323,13.436,6.492,14.4,373710,1203,733801,15.326,9.708,18713275.0,30628667.240716435,21.0
2021-05-19,42898.3,43516.6,30261.7,36720.5,263294,880212,505047,25046487590083,1.3859008897392E+20,0.255,53956072578,18.246,8.264,11.52,450143,1829,884253,15.239,13.582,18714031.25,36558890.15030742,23.0
2021-05-20,36706.8,42425.9,35010.4,40717.2,227927,897022,488774,25046487590083,1.4673049793968E+20,0.226,58855007137,23.148,10.081,12.857,498229,1521,835102,15.316,15.92,18714756.25,33135536.43756745,11.0
2021-05-21,40611.2,42108.3,33592.3,37297.4,226241,901568,490983,25046487590083,1.4065392775665E+20,0.228,46344046178,22.663,10.23,13.091,379726,1272,795684,15.331,16.013,18715318.75,31984319.396481585,19.0
2021-05-22,37291.0,38776.0,35314.9,37448.3,223684,879055,415931,25046487590083,1.3695961088519E+20,0.227,33337657665,17.171,7.789,12.414,396228,849.35,787813,15.346,12.38,18716087.5,31076144.881794974,12.0
2021-05-23,37446.8,38248.7,31192.4,34679.7,194201,849326,370608,25046487590083,1.5480298429333E+20,0.187,36241334696,14.708,6.215,12.101,402813,998.565,856651,15.352,9.871,18716931.25,28944158.98421438,14.0
2021-05-24,34720.3,39851.7,34474.6,38750.6,234629,883088,454269,25046487590083,1.4894899895001E+20,0.22,47477048251,15.27,6.979,11.429,411655,1094,839856,15.273,10.952,18717531.25,32668797.23653627,10.0
2021-05-25,38753.6,39740.8,36540.7,38378.3,233521,878431,463612,25046487590083,1.6053634756784E+20,0.203,46177233761,13.996,6.668,11.707,373314,1010,828021,15.285,10.047,18718318.75,32577927.94728843,22.0
2021-05-26,38375.7,40750.0,37847.0,39249.2,230631,898395,467813,25046487590083,1.4563359403315E+20,0.226,50828242455,13.249,6.032,11.803,378094,1025,834755,15.331,9.268,18719075.0,32976616.14112848,22.0
2021-05-27,39249.0,40322.2,37190.8,38417.3,213918,899516,444499,25046487590083,1.5995364466481E+20,0.193,42353576022,11.995,5.438,12.308,359587,1074,754805,15.328,8.296,18719793.75,30872457.374978814,27.0
2021-05-28,38543.2,38844.1,34772.4,35662.5,218192,872404,463180,25046487590083,1.4500861196398E+20,0.205,73389096918,11.672,5.08,12.101,486152,1007,844453,15.304,8.554,18720625.0,29892496.4361271,21.0
2021-05-29,35664.5,37227.1,33664.2,34584.6,198216,867691,395271,25046487590083,1.4039175898494E+20,0.194,50144374631,8.436,3.522,12.414,362660,752.603,759213,15.341,6.142,18721431.25,27237217.139367037,18.0
2021-05-30,34589.3,36388.6,33441.0,35652.8,179651,822636,347329,21214345448186,1.4327092152594E+20,0.232,20802851482,7.231,2.84,10,213617,725.123,872686,15.33,3.912,18722300.0,33235125.091146626,10.0
2021-05-31,35644.0,37480.7,34213.2,37298.6,226328,851276,438660,21047730572452,1.4368393198812E+20,0.233,18327950776,7.266,2.965,10.213,179821,971.947,854540,15.32,4.911,18723031.25,33914623.681255355,18.0
2021-06-01,37294.3,37850.3,35742.7,36687.6,234419,876479,460996,21047730572452,1.5177609781047E+20,0.225,15832474023,7.381,3.08,10.141,232637,950.284,765486,15.381,5.06,18723925.0,34238305.81555942,20.0
2021-06-02,36687.7,38199.9,35981.1,37555.8,250423,822467,486717,21047730572452,1.6209260698612E+20,0.25,15231918123,7.615,2.954,8.675,171600,865.239,987067,15.39,4.7,18725137.5,41033277.7360982,23.0
2021-06-03,37555.7,39462.3,37193.6,39187.3,255474,840977,510989,21047730572452,1.6039119442425E+20,0.233,16302020460,7.525,2.965,9.796,184357,901.467,897967,15.361,5.152,18725912.5,37237145.28549553,24.0
2021-06-04,39191.4,39255.4,35659.9,36851.3,236541,816280,462360,21047730572452,1.4273730760929E+20,0.224,14145960603,6.644,2.635,10.992,161320,848.513,783651,15.394,4.92,18726700.0,32433139.613245476,27.0
2021-06-05,36841.2,37887.6,34832.0,35520.0,194449,678168,385858,21047730572452,1.4164493533335E+20,0.219,11924103613,5.58,2.071,10.992,143921,727.213,673290,15.394,3.496,18727700.0,31004148.542508267,24.0
2021-06-06,35518.7,36434.0,35265.3,35815.4,185155,555768,335962,21047730572452,1.4929736016574E+20,0.231,35879034159,4.384,1.238,9.6,346058,621.883,601459,15.41,2.354,18728506.25,34551597.29480198,17.0
2021-06-07,35815.4,36754.6,33410.1,33578.0,235346,797353,439958,21047730572452,1.4668699738383E+20,0.212,44824530505,5.269,1.717,10.827,328847,864.655,779317,15.438,3.993,18729456.25,32065211.206185155,15.0
2021-06-08,33574.6,34047.8,31158.1,33382.9,246757,829248,471786,21047730572452,1.4881729185309E+20,0.214,53003807246,4.696,1.389,9.664,336602,909.827,868700,15.421,3.649,18730256.25,31680869.696719125,13.0
2021-06-09,33385.5,37517.6,32428.6,37332.2,210785,660581,423177,21047730572452,1.6223776534072E+20,0.176,21102438297,5.509,1.701,11.429,218923,934.595,662160,15.404,4.064,18731031.25,29082024.72863661,14.0
2021-06-10,37375.2,38340.8,35824.0,36649.4,252865,894428,510219,21047730572452,1.1446047973155E+20,0.253,16990772897,6.783,2.434,12.203,206447,981.397,818042,15.463,5.918,18731862.5,28990968.607225362,21.0
2021-06-11,36654.3,37641.1,36003.3,37314.6,216397,851566,444572,21047730572452,1.1521324711207E+20,0.224,15568015426,6.958,2.654,13.714,250106,966.458,775297,15.466,5.843,18732506.25,25753794.507168025,21.0
2021-06-12,37334.4,37437.3,34703.3,35467.5,222642,814843,405772,21047730572452,1.2688306226891E+20,0.242,9713889061,5.695,1.955,10.909,161942,684.135,871005,15.482,4.127,18733218.75,31189778.559382275,28.0
2021-06-13,35467.5,39321.6,34827.0,39022.9,186966,652100,330944,20836567779802,1.2821357157366E+20,0.241,9346095980,4.515,1.518,10.909,230003,719.822,639050,15.476,2.738,18734081.25,31382108.55365283,23.0
2021-06-14,39024.1,40970.4,38769.9,40529.4,242281,747005,428199,19932791027263,1.42482536842E+20,0.245,18206157982,6.165,2.389,10.667,243277,909.689,815431,15.469,4.275,18735087.5,36421303.120417744,28.0
2021-06-15,40522.5,41318.0,39589.9,40156.1,241730,772973,443257,19932791027263,1.3200455026254E+20,0.261,23952675828,6.443,2.483,10.992,233337,940.462,861692,15.498,4.52,18735756.25,34465050.9411636,38.0
2021-06-16,40148.1,40494.4,38156.4,38336.0,252814,833040,442342,19932791027263,1.1943896196302E+20,0.267,23588807629,6.094,2.296,11.707,250695,840.639,828607,15.523,4.84,18736612.5,31780141.800057426,33.0
2021-06-17,38337.8,39529.9,37425.3,38052.0,237595,727840,416213,19932791027263,1.2899986246799E+20,0.253,20214651724,5.097,1.804,11.077,254760,800.748,745385,15.525,3.719,18737293.75,32585835.143843785,26.0
2021-06-18,38045.5,38166.0,35198.5,35749.4,222794,741348,393441,19932791027263,1.2984773311861E+20,0.23,18973472658,5.16,1.616,11.613,258339,802.283,734593,15.538,3.856,18738181.25,29858234.31511843,25.0
2021-06-19,35770.0,36357.3,34845.5,35513.4,186939,793686,336784,19932791027263,1.0988416791427E+20,0.217,11482251400,4.712,1.648,13.981,206369,766.207,586764,15.54,3.687,18738731.25,23856840.00185822,23.0
2021-06-20,35510.9,36097.9,33378.0,35595.8,167144,910868,308785,19932791027263,1.0518706917708E+20,0.226,10990052410,4.769,1.473,13.714,268040,757.63,536746,15.566,3.348,18739381.25,23743052.0992393,21.0
2021-06-21,35597.9,35708.4,31284.1,31692.0,204945,880447,384401,19932791027263,1.0260586522078E+20,0.225,21036373250,6.518,2.336,13.714,282976,974.027,708189,15.56,5.784,18740043.75,23126700.279965036,23.0
2021-06-22,31682.7,33272.5,28901.8,32496.4,196432,867356,385925,19932791027263,1.0066232415846E+20,0.196,24660356338,7.789,3.36,15.824,315555,1159,678287,15.567,7.756,18740618.75,19804046.130290017,10.0
2021-06-23,32498.3,34784.3,31736.5,33674.3,232603,867412,419947,19932791027263,9.6191870167657E+19,0.241,21319509002,8.131,3.634,14.257,264341,979.438,733559,15.607,8.157,18741268.75,23621428.331087295,14.0
2021-06-24,33678.1,35249.9,32356.7,34665.8,233173,858685,411788,19932791027263,9.9528169963663E+19,0.239,21994140039,6.949,3.21,13.714,268789,832.159,734265,15.603,6.821,18741987.5,23766132.38608606,22.0
2021-06-25,34660.5,35490.9,31337.9,31594.0,218135,854211,391933,19932791027263,1.0662818135775E+20,0.229,32555007021,6.754,3.022,13.091,363718,839.518,738824,15.594,6.036,18742675.0,24364896.164727684,27.0
2021-06-26,31592.1,32643.0,30206.9,32243.4,181539,857993,324459,19932791027263,1.0104267799581E+20,0.183,25062597251,5.102,2.135,16.18,307811,690.79,589898,15.583,5.025,18743156.25,18459502.48536148,20.0
